region_id,region_name,fo_id,fo_name
1,Республика Адыгея (Адыгея),3,Южный федеральный округ
2,Республика Башкортостан,5,Приволжский федеральный округ
3,Республика Бурятия,7,Сибирский федеральный округ
4,Республика Алтай,7,Сибирский федеральный округ
5,Республика Дагестан,4,Северо-Кавказский федеральный округ
6,Республика Ингушетия,4,Северо-Кавказский федеральный округ
7,Кабардино-Балкарская Республика,4,Северо-Кавказский федеральный округ
8,Республика Калмыкия,3,Южный федеральный округ
9,Карачаево-Черкесская Республика,4,Северо-Кавказский федеральный округ
10,Республика Карелия,2,Северо-Западный федеральный округ
11,Республика Коми,2,Северо-Западный федеральный округ
12,Республика Марий Эл,5,Приволжский федеральный округ
13,Республика Мордовия,5,Приволжский федеральный округ
14,Республика Саха (Якутия),8,Дальневосточный федеральный округ
15,Республика Северная Осетия - Алания,4,Северо-Кавказский федеральный округ
16,Республика Татарстан (Татарстан),5,Приволжский федеральный округ
17,Республика Тыва,7,Сибирский федеральный округ
18,Удмуртская Республика,5,Приволжский федеральный округ
19,Республика Хакасия,7,Сибирский федеральный округ
20,Чеченская Республика,4,Северо-Кавказский федеральный округ
21,Чувашская Республика - Чувашия,5,Приволжский федеральный округ
22,Алтайский край,7,Сибирский федеральный округ
23,Краснодарский край,3,Южный федеральный округ
24,Красноярский край,7,Сибирский федеральный округ
25,Приморский край,8,Дальневосточный федеральный округ
26,Ставропольский край,4,Северо-Кавказский федеральный округ
27,Хабаровский край,8,Дальневосточный федеральный округ
28,Амурская область,8,Дальневосточный федеральный округ
29,Архангельская область,2,Северо-Западный федеральный округ
30,Астраханская область,3,Южный федеральный округ
31,Белгородская область,1,Центральный федеральный округ
32,Брянская область,1,Центральный федеральный округ
33,Владимирская область,1,Центральный федеральный округ
34,Волгоградская область,3,Южный федеральный округ
35,Вологодская область,2,Северо-Западный федеральный округ
36,Воронежская область,1,Центральный федеральный округ
37,Ивановская область,1,Центральный федеральный округ
38,Иркутская область,7,Сибирский федеральный округ
39,Калининградская область,2,Северо-Западный федеральный округ
40,Калужская область,1,Центральный федеральный округ
41,Камчатский край,8,Дальневосточный федеральный округ
42,Кемеровская область,7,Сибирский федеральный округ
43,Кировская область,5,Приволжский федеральный округ
44,Костромская область,1,Центральный федеральный округ
45,Курганская область,6,Уральский федеральный округ
46,Курская область,1,Центральный федеральный округ
47,Ленинградская область,2,Северо-Западный федеральный округ
48,Липецкая область,1,Центральный федеральный округ
49,Магаданская область,8,Дальневосточный федеральный округ
50,Московская область,1,Центральный федеральный округ
51,Мурманская область,2,Северо-Западный федеральный округ
52,Нижегородская область,5,Приволжский федеральный округ
53,Новгородская область,2,Северо-Западный федеральный округ
54,Новосибирская область,7,Сибирский федеральный округ
55,Омская область,7,Сибирский федеральный округ
56,Оренбургская область,5,Приволжский федеральный округ
57,Орловская область,1,Центральный федеральный округ
58,Пензенская область,5,Приволжский федеральный округ
59,Пермский край,5,Приволжский федеральный округ
60,Псковская область,2,Северо-Западный федеральный округ
61,Ростовская область,3,Южный федеральный округ
62,Рязанская область,1,Центральный федеральный округ
63,Самарская область,5,Приволжский федеральный округ
64,Саратовская область,5,Приволжский федеральный округ
65,Сахалинская область,8,Дальневосточный федеральный округ
66,Свердловская область,6,Уральский федеральный округ
67,Смоленская область,1,Центральный федеральный округ
68,Тамбовская область,1,Центральный федеральный округ
69,Тверская область,1,Центральный федеральный округ
70,Томская область,7,Сибирский федеральный округ
71,Тульская область,1,Центральный федеральный округ
72,Тюменская область,6,Уральский федеральный округ
73,Ульяновская область,5,Приволжский федеральный округ
74,Челябинская область,6,Уральский федеральный округ
75,Забайкальский край,7,Сибирский федеральный округ
76,Ярославская область,1,Центральный федеральный округ
77,г. Москва,1,Центральный федеральный округ
78,Санкт-Петербург,2,Северо-Западный федеральный округ
79,Еврейская автономная область,8,Дальневосточный федеральный округ
83,Ненецкий автономный округ,2,Северо-Западный федеральный округ
86,Ханты-Мансийский автономный округ - Югра,6,Уральский федеральный округ
87,Чукотский автономный округ,8,Дальневосточный федеральный округ
89,Ямало-Ненецкий автономный округ,6,Уральский федеральный округ
91,Республика Крым,3,Южный федеральный округ
92,Севастополь,3,Южный федеральный округ
99,"Иные территории, включая город и космодром Байконур",,
